episode_reward,moving_avg
-137.6179682612419,-137.6179682612419
-133.1444330215454,-135.38120064139366
-129.3868859410286,-133.38309574127197
-131.87503576278687,-133.0060807466507
-139.52943778038025,-134.3107521533966
-132.13385850191116,-133.9479365448157
-148.19341588020325,-135.98300502129965
-173.95633506774902,-140.7296712771058
-139.98872184753418,-140.64734356270895
-135.50602281093597,-140.13321148753167
-176.51418328285217,-144.0228329896927
-138.49984258413315,-144.55837394595147
-164.00575733184814,-148.0202610850334
-138.3362085223198,-148.6663783609867
-170.03755140304565,-151.71718972325326
-179.48539793491364,-156.4523436665535
-133.98093461990356,-155.03109554052352
-156.78620386123657,-153.31408241987228
-176.40524423122406,-156.95573465824128
-130.63677501678467,-156.46880987882614
-132.99709779024124,-152.11710132956506
-136.85233062505722,-151.95235013365746
-118.67478543519974,-147.4192529439926
-122.39574986696243,-145.82520707845688
-155.88958132266998,-144.41041007041932
-154.2867615222931,-141.89054642915727
-128.6427053809166,-141.35672350525857
-123.2178493142128,-137.9998880505562
-125.76613795757294,-132.93597742319108
-153.16772484779358,-135.18907240629196
-174.25940942764282,-139.3153035700321
-168.61984050273895,-142.4920545578003
-158.19841343164444,-146.44441735744476
-119.92351478338242,-146.19719384908677
-148.79703551530838,-145.4879392683506
-118.14500397443771,-141.87376351356505
-144.20136386156082,-143.42962936162948
-143.92687553167343,-145.50053198337554
-110.98119950294495,-144.02203813791274
-116.17677879333496,-140.3229435324669
-135.11663621664047,-136.40866621136666
-150.3528408408165,-134.5819662451744
-117.0084787607193,-130.4629727780819
-115.10919469594955,-129.9815407693386
-129.10120350122452,-128.0119575679302
-148.1254944205284,-131.01000661253929
-117.06819957494736,-128.29669018387796
-149.24580818414688,-128.8285834491253
-107.5949210524559,-128.48995560407639
-156.78219348192215,-132.55049707293512
-119.83386313915253,-131.02221976518632
-118.74472814798355,-127.86140849590302
-140.9576696753502,-130.25632758736612
-109.71380537748337,-129.71678865551948
-112.96391534805298,-128.10305984020232
-120.12533861398697,-125.30304425954819
-158.41362446546555,-129.4375867486
-148.53105509281158,-129.36611143946647
-148.54297596216202,-133.4609169304371
-99.07240223884583,-127.68993780612945
-99.53694319725037,-125.66024581193923
-110.97418814897537,-124.88319181203842
-126.71543395519257,-123.45896824002266
-130.24431723356247,-125.51201942563057
-112.40968185663223,-125.4565960764885
-126.5647469162941,-126.10053690671921
-150.9819005727768,-125.35736451745034
-156.45619994401932,-126.14987900257111
-128.965293943882,-124.19211080074311
-98.02339804172516,-124.08721038103104
-92.35667675733566,-123.36918373703956
-93.07530754804611,-121.57929567694664
-99.87815061211586,-118.89556734263897
-141.20893400907516,-119.99202902019024
-136.93870604038239,-122.44493143856525
-141.288325548172,-123.91728930175304
-87.16438204050064,-117.53553744852543
-83.82918977737427,-110.27283643186092
-95.46508193016052,-106.92281523048878
-141.09726309776306,-111.23020173609257
-152.95458281040192,-117.2899923413992
-92.30959725379944,-117.21342131197453
-98.86867481470108,-117.11247373223304
-151.69118082523346,-118.16069841384888
-110.68583226203918,-115.53541103601455
-109.30554968118668,-112.33713344931603
-150.57102167606354,-118.67779741287231
-86.7294203042984,-118.96782046556473
